subject,roi,metric,mean,median,std,n
101410,CSF,MK,0.4508858323097229,0.4399094581604004,0.07681327313184738,2720
101410,CSF,alpha_persistence,1.715171217918396,1.7082680463790894,0.17162686586380005,2720
101410,CC,FA,0.7442476749420166,0.7358253002166748,0.09597259759902954,837
101410,CC,MD,0.0004473312583286315,0.0004909900017082691,0.00017534030484966934,837
101410,CC,MK,1.091569423675537,1.120775818824768,0.5961142778396606,837
101410,CC,alpha_persistence,2.282414197921753,2.338776111602783,0.35705599188804626,837
101915,WM,FA,0.5712983012199402,0.5449216365814209,0.1292547583580017,21833
101915,WM,MD,0.00048808229621499777,0.0005230170791037381,0.00015615658776368946,21833
101915,WM,MK,1.0720854997634888,1.0383952856063843,0.4901027977466583,21833
101915,WM,alpha_persistence,2.113551616668701,2.148798942565918,0.2577574849128723,21833
101915,GM,FA,0.17552100121974945,0.15995652973651886,0.09046114236116409,68278
101915,GM,MD,0.000663071172311902,0.0006432102527469397,0.00022959482157602906,68278
101915,GM,MK,0.7285913228988647,0.6798233389854431,0.3671777546405792,68278
101915,GM,alpha_persistence,1.8137404918670654,1.8102129697799683,0.21448418498039246,68278
101915,CSF,FA,0.0658174455165863,0.06207799166440964,0.02655939944088459,2711
101915,CSF,MD,0.0014531868509948254,0.0014462994877249002,0.0002752767177298665,2711
101915,CSF,MK,0.4622287154197693,0.44430771470069885,0.0738239511847496,2711
101915,CSF,alpha_persistence,1.701256513595581,1.6949687004089355,0.17745380103588104,2711
101915,CC,FA,0.7661311030387878,0.7664363384246826,0.09688536077737808,941
101915,CC,MD,0.0004307831695768982,0.00048346168478019536,0.00018315552733838558,941
101915,CC,MK,1.0741193294525146,1.137678623199463,0.6481082439422607,941
101915,CC,alpha_persistence,2.216256618499756,2.2796568870544434,0.343326598405838,941
102008,WM,FA,0.568642258644104,0.544061541557312,0.12659789621829987,23183
102008,WM,MD,0.0004796300199814141,0.0005070003680884838,0.0001399959292029962,23183
102008,WM,MK,1.0795254707336426,1.0592247247695923,0.4418295919895172,23183
102008,WM,alpha_persistence,2.303431749343872,2.3227014541625977,0.2786937952041626,23183
102008,GM,FA,0.1736682504415512,0.15646548569202423,0.09152466803789139,75149
102008,GM,MD,0.0006852808874100447,0.0006421750294975936,0.0002572117082308978,75149
102008,GM,MK,0.7215311527252197,0.681120753288269,0.32191959023475647,75149
102008,GM,alpha_persistence,1.9931411743164062,1.9923925399780273,0.22981905937194824,75149
102008,CSF,FA,0.0621071383357048,0.05857475847005844,0.025181105360388756,2502
102008,CSF,MD,0.0016771041555330157,0.0017052401090040803,0.0003192552539985627,2502
102008,CSF,MK,0.42793118953704834,0.40200698375701904,0.06971348077058792,2502
102008,CSF,alpha_persistence,1.7905033826828003,1.778913974761963,0.16903041303157806,2502
102008,CC,FA,0.770710289478302,0.7743422985076904,0.10890939831733704,800
102008,CC,MD,0.00045220114407129586,0.00047499994980171323,0.00017574301455169916,800
102008,CC,MK,1.043514370918274,1.1458406448364258,0.6315940022468567,800
102008,CC,alpha_persistence,2.5545449256896973,2.5976219177246094,0.4370986819267273,800
102109,WM,FA,0.5664626359939575,0.5420830249786377,0.12333102524280548,26910
102109,WM,MD,0.0004973384784534574,0.0005176553968340158,0.00013091956498101354,26910
102109,WM,MK,1.0914826393127441,1.0647246837615967,0.3950636684894562,26910
102109,WM,alpha_persistence,2.1314332485198975,2.1567392349243164,0.272767573595047,26910
102109,GM,FA,0.16874787211418152,0.14858737587928772,0.09218103438615799,83203
102109,GM,MD,0.0006837428663857281,0.000647188862785697,0.00025982080842368305,83203
102109,GM,MK,0.7426740527153015,0.6869726181030273,0.3363264799118042,83203
102109,GM,alpha_persistence,1.7496424913406372,1.7492166757583618,0.24973897635936737,83203
102109,CSF,FA,0.06290124356746674,0.05954916775226593,0.025277232751250267,2739
102109,CSF,MD,0.0015770245809108019,0.0015760512324050069,0.00039270578417927027,2739
102109,CSF,MK,0.4506114721298218,0.43874862790107727,0.07910576462745667,2739
102109,CSF,alpha_persistence,1.6389795541763306,1.636520504951477,0.19886884093284607,2739
102109,CC,FA,0.7709394097328186,0.7743574976921082,0.10120641440153122,857
102109,CC,MD,0.00044906800030730665,0.000476473243907094,0.00015345071733463556,857
102109,CC,MK,1.1573771238327026,1.1989015340805054,0.5547276735305786,857
102109,CC,alpha_persistence,2.2622079849243164,2.2696878910064697,0.34248340129852295,857
102311,WM,FA,0.5806442499160767,0.5530115365982056,0.13556528091430664,21765
102311,WM,MD,0.0004744559701066464,0.0005069770268164575,0.0001539729128126055,21765
102311,WM,MK,1.0779123306274414,1.069977879524231,0.4879503548145294,21765
102311,WM,alpha_persistence,2.03796124458313,2.0705361366271973,0.29380860924720764,21765
102311,GM,FA,0.16760510206222534,0.148290753364563,0.09100062400102615,70032
102311,GM,MD,0.0006808091420680285,0.0006529468228109181,0.00023676606360822916,70032
102311,GM,MK,0.6990538239479065,0.6704897284507751,0.3590047359466553,70032
102311,GM,alpha_persistence,1.7461528778076172,1.7601115703582764,0.25945383310317993,70032
102311,CSF,FA,0.06712905317544937,0.06354980915784836,0.026000535115599632,2531
102311,CSF,MD,0.0014533782377839088,0.001441220403648913,0.0002818486245814711,2531
102311,CSF,MK,0.4575898051261902,0.4394203722476959,0.07543828338384628,2531
102311,CSF,alpha_persistence,1.6718131303787231,1.7105683088302612,0.24449534714221954,2531
102311,CC,FA,0.8033614754676819,0.8115994930267334,0.1159849688410759,876
102311,CC,MD,0.00038775758002884686,0.0004712485533673316,0.0002133561938535422,876
102311,CC,MK,0.9146155714988708,1.0964319705963135,0.7084660530090332,876
102311,CC,alpha_persistence,2.0510380268096924,2.123997688293457,0.39901864528656006,876
102513,WM,FA,0.5646931529045105,0.5372200012207031,0.127187117934227,25950
102513,WM,MD,0.0005137402913533151,0.0005408200086094439,0.00015028368216007948,25950
102513,WM,MK,1.053402304649353,1.023961067199707,0.4321715533733368,25950
102513,WM,alpha_persistence,2.117962121963501,2.1404762268066406,0.23229682445526123,25950
102513,GM,FA,0.16959935426712036,0.15069547295570374,0.09312859922647476,82588
102513,GM,MD,0.0007196260266937315,0.0006763566052541137,0.00026783134671859443,82588
102513,GM,MK,0.6921550631523132,0.6503263711929321,0.3370354473590851,82588
102513,GM,alpha_persistence,1.8225548267364502,1.8111753463745117,0.1859477460384369,82588
102513,CSF,FA,0.06006334722042084,0.056757085025310516,0.023783786222338676,3261
102513,CSF,MD,0.0016633605118840933,0.0016750326612964272,0.0003187267866451293,3261
102513,CSF,MK,0.42875611782073975,0.4118656814098358,0.06966976076364517,3261
102513,CSF,alpha_persistence,1.6777777671813965,1.679540991783142,0.136404350399971,3261
102513,CC,FA,0.7739004492759705,0.7777585387229919,0.1037929356098175,881
102513,CC,MD,0.0004283808229956776,0.0004961704253219068,0.00020007434068247676,881
102513,CC,MK,1.1254726648330688,1.1417757272720337,0.6731457710266113,881
102513,CC,alpha_persistence,2.173863649368286,2.224600076675415,0.343208372592926,881
102614,WM,FA,0.5687403678894043,0.544925332069397,0.12464581429958344,24968
102614,WM,MD,0.0004968004650436342,0.0005250900285318494,0.00014162527804728597,24968
